title,description,url,wikidata_id,inserted_at,updated_at
Folk devil,A person or group of people who are portrayed in folklore or the media as outsiders and deviant,https://en.wikipedia.org/wiki/Folk_devil,Q5464460,2020-05-30 20:45:25,2020-05-30 20:45:25
Social stratification,population with similar characteristics in a society,https://en.wikipedia.org/wiki/Social_stratification,Q841628,2020-05-30 20:45:25,2020-05-30 20:45:25
Systems theory,Interdisciplinary study of systems,https://en.wikipedia.org/wiki/Systems_theory,Q269699,2020-05-30 20:45:25,2020-05-30 20:45:25
Reactance (psychology),unpleasant emotion experienced when behavioral freedom is threatened,https://en.m.wikipedia.org/wiki/Reactance_(psychology),Q746935,2020-05-30 20:45:25,2020-05-30 20:45:25
Enneagram of Personality,Of Oscar Ichazo and Claudio Naranjo,https://en.wikipedia.org/wiki/Enneagram_of_Personality,Q273047,2020-05-30 20:45:25,2020-05-30 20:45:25
List,Disambiguation page providing links to topics that could be referred to by the same search term,https://en.wikipedia.org/wiki/List_,Q162032,2020-05-30 20:45:25,2020-05-30 20:45:25
Seattle Freeze,"cultural label of Seattle, WA as a place it's hard to make friends",https://en.wikipedia.org/wiki/Seattle_Freeze,Q7442101,2020-05-30 20:45:25,2020-05-30 20:45:25
Slavoj Žižek,Slovene philosopher,https://en.wikipedia.org/wiki/Slavoj_%C5%BDi%C5%BEek,Q184750,2020-05-30 20:45:25,2020-05-30 20:45:25
Disinformation,False information spread deliberately to deceive,https://en.wikipedia.org/wiki/Disinformation,Q189656,2020-05-30 20:45:25,2020-05-30 20:45:25
Flow,Disambiguation page providing links to topics that could be referred to by the same search term,https://en.wikipedia.org/wiki/Flow_,Q8961886,2020-05-30 20:45:25,2020-05-30 20:45:25
Stanford marshmallow experiment,Study on delayed gratification by psychologist Walter Mischel,https://en.m.wikipedia.org/wiki/Stanford_marshmallow_experiment,Q1523836,2020-05-30 20:45:25,2020-05-30 20:45:25
Scientific method,"Interplay between observation, experiment and theory in science",https://en.wikipedia.org/wiki/Scientific_method,Q46857,2020-05-30 20:45:25,2020-05-30 20:45:25
Bus factor,A measurement of the risk of losing key technical experts,https://en.wikipedia.org/wiki/Bus_factor,Q1812883,2020-05-30 20:45:25,2020-05-30 20:45:25
Theory of mind,Ability to attribute mental states to oneself and others,https://en.wikipedia.org/wiki/Theory_of_mind,Q639219,2020-05-30 20:45:25,2020-05-30 20:45:25
Working memory,Cognitive system for temporarily holding information,https://en.wikipedia.org/wiki/Working_memory,Q11337567,2020-05-30 20:45:25,2020-05-30 20:45:25
Psychometrics,theory and technique of psychological measurement,https://en.wikipedia.org/wiki/Psychometrics,Q506132,2020-05-30 20:45:25,2020-05-30 20:45:25
Unit testing,Software testing method by which individual units of source code are validated,https://en.wikipedia.org/wiki/Unit_testing,Q907375,2020-05-30 20:45:25,2020-05-30 20:45:25
The Emperor's New Clothes,Fairytale by Hans Christian Andersen,https://en.m.wikipedia.org/wiki/The_Emperor's_New_Clothes,Q11866,2020-05-30 20:45:25,2020-05-30 20:45:25
Mental model,Explanation of someone's thought process about how something works in the real world,https://en.wikipedia.org/wiki/Mental_model,Q1851867,2020-05-30 20:45:25,2020-05-30 20:45:25
Volstead Act,An act to prohibit intoxicating beverages in the USA,https://en.wikipedia.org/wiki/Volstead_Act,Q1613068,2020-05-30 20:45:25,2020-05-30 20:45:25
Thomas Crapper,British plumber,https://en.wikipedia.org/wiki/Thomas_Crapper,Q2987116,2020-05-30 20:45:25,2020-05-30 20:45:25
Set,Disambiguation page providing links to topics that could be referred to by the same search term,https://en.wikipedia.org/wiki/Set,Q235028,2020-05-30 20:45:25,2020-05-30 20:45:25
Numeral system,Notation for expressing numbers,https://en.wikipedia.org/wiki/Numeral_system,Q122653,2020-05-30 20:45:25,2020-05-30 20:45:25
Cognitive dissonance,"Psychological stress experienced by an individual who holds two or more contradictory beliefs, ideas, or values at the same time",https://en.m.wikipedia.org/wiki/Cognitive_dissonance,Q209722,2020-05-30 20:45:25,2020-05-30 20:45:25
Web standards,Technical standard,https://en.m.wikipedia.org/wiki/Web_standards,Q1153289,2020-05-30 20:45:25,2020-05-30 20:45:25
Absurdism,"Conflict between the human tendency to seek inherent value and meaning in life and the human inability to find any in a purposeless, meaningless or chaotic and irrational universe",https://en.wikipedia.org/wiki/Absurdism,Q333625,2020-05-30 20:45:25,2020-05-30 20:45:25
Reciprocity,Disambiguation page providing links to topics that could be referred to by the same search term,https://en.wikipedia.org/wiki/Reciprocity_,Q1350049,2020-05-30 20:45:25,2020-05-30 20:45:25
Attachment theory,Psychological ethological theory about human relationships,https://en.wikipedia.org/wiki/Attachment_theory,Q909609,2020-05-30 20:45:25,2020-05-30 20:45:25
Coordinate system,System for determining the position of a point by a tuple of scalars,https://en.wikipedia.org/wiki/Coordinate_system,Q11210,2020-05-30 20:45:25,2020-05-30 20:45:25
Single point of failure,"A part of a system that, if it fails, will stop the entire system from working",https://en.wikipedia.org/wiki/Single_point_of_failure,Q1363179,2020-05-30 20:45:25,2020-05-30 20:45:25
Curse of knowledge,Cognitive bias of assuming that others have the same background to understand,https://en.m.wikipedia.org/wiki/Curse_of_knowledge,Q2901014,2020-05-30 20:45:25,2020-05-30 20:45:25
Champurrado,Mexican chocolate beverage,https://en.wikipedia.org/wiki/Champurrado,Q2955932,2020-05-30 20:45:25,2020-05-30 20:45:25
Populism,"Political philosophy that supports needs and desires of ""the people"" over those of ""the powerful.""",https://en.wikipedia.org/wiki/Populism,Q180490,2020-05-30 20:45:25,2020-05-30 20:45:25
Determinism,The philosophical belief that all events are determined completely by previously existing causes,https://en.wikipedia.org/wiki/Determinism,Q131133,2020-05-30 20:45:25,2020-05-30 20:45:25
Shavasana,relaxed reclining posture in hatha yoga,https://en.wikipedia.org/wiki/Shavasana,Q2019129,2020-05-30 20:45:25,2020-05-30 20:45:25
Post hoc ergo propter hoc,Fallacy of assumption of causality based on sequence of events,https://en.wikipedia.org/wiki/Post_hoc_ergo_propter_hoc,Q732404,2020-05-30 20:45:25,2020-05-30 20:45:25
Category theory,Branch of mathematics,https://en.wikipedia.org/wiki/Category_theory,Q217413,2020-05-30 20:45:25,2020-05-30 20:45:25
